,ma1,ma2,result,Result
0,10,10,0,0.0
1,10,15,0,100.80448179999999
2,10,20,0,330.8234240000001
3,10,25,0,380.8750530000002
4,10,30,0,205.8000043999999
5,10,35,0,666.4856573999999
6,10,40,0,997.0525853999998
7,10,45,0,1080.5493775999996
8,10,50,0,-2.9497451999999975
9,10,55,0,-15.769554200000039
10,10,60,0,-4.11874160000003
11,10,65,0,-16.562923599999994
12,10,70,0,197.3538708
13,10,75,0,-15.034440599999998
14,10,80,0,-10.86247900000002
15,10,85,0,2.860396199999959
16,10,90,0,3.613282599999966
17,10,95,0,-75.49057319999997
18,15,10,0,-52.05380540000003
19,15,15,0,0.0
20,15,20,0,215.6541586
21,15,25,0,151.6641712000002
22,15,30,0,838.8551951999995
23,15,35,0,777.1246402000002
24,15,40,0,670.1369377999999
25,15,45,0,955.8577015999999
26,15,50,0,-13.225068400000017
27,15,55,0,-24.596962599999987
28,15,60,0,-32.046364600000004
29,15,65,0,2.3783330000000023
30,15,70,0,-25.550107399999987
31,15,75,0,-19.496000000000013
32,15,80,0,-21.989233599999995
33,15,85,0,-13.18260360000002
34,15,90,0,-72.5922834
35,15,95,0,-71.696778
36,20,10,0,-100.0
37,20,15,0,-100.0
38,20,20,0,0.0
39,20,25,0,120.9281214000001
40,20,30,0,220.09060540000013
41,20,35,0,205.63092959999994
42,20,40,0,287.64311859999987
43,20,45,0,419.8555281999998
44,20,50,0,587.5843370000003
45,20,55,0,-36.44628460000002
46,20,60,0,-32.25108820000002
47,20,65,0,-29.578889199999992
48,20,70,0,-24.192394000000004
49,20,75,0,-77.2224314
50,20,80,0,-80.51840579999998
51,20,85,0,-77.15355720000001
52,20,90,0,-61.588597600000014
53,20,95,0,-61.463194599999994
54,25,10,0,-100.0
55,25,15,0,-86.43487200000001
56,25,20,0,-100.0
57,25,25,0,0.0
58,25,30,0,142.28801799999985
59,25,35,0,258.339527
60,25,40,0,637.8969126
61,25,45,0,522.5827424000001
62,25,50,0,649.8117538
63,25,55,0,-15.166064400000016
64,25,60,0,-17.1358424
65,25,65,0,-24.828985600000006
66,25,70,0,-62.89938220000003
67,25,75,0,-71.8666638
68,25,80,0,-57.316930199999994
69,25,85,0,-74.68419660000002
70,25,90,0,-84.05197040000002
71,25,95,0,-78.43592740000001
72,30,10,0,-100.0
73,30,15,0,-100.0
74,30,20,0,-100.0
75,30,25,0,-100.0
76,30,30,0,0.0
77,30,35,0,208.0794888000002
78,30,40,0,272.37736820000003
79,30,45,0,584.9090958
80,30,50,0,1268.4191368000002
81,30,55,0,-18.96034820000008
82,30,60,0,-61.07124400000005
83,30,65,0,-52.28949100000002
84,30,70,0,-55.4455758
85,30,75,0,-63.9455392
86,30,80,0,-71.8697274
87,30,85,0,-86.38773260000002
88,30,90,0,-79.473057
89,30,95,0,-65.63983259999999
90,35,10,0,-100.0
91,35,15,0,-100.0
92,35,20,0,-100.0
93,35,25,0,-100.0
94,35,30,0,-100.0
95,35,35,0,0.0
96,35,40,0,152.14739660000015
97,35,45,0,280.1127077999999
98,35,50,0,0.0044881999999961415
99,35,55,0,7.351569800000034
100,35,60,0,-42.8717138
101,35,65,0,-61.22547500000001
102,35,70,0,-48.4448558
103,35,75,0,-77.27209800000001
104,35,80,0,-67.17482340000001
105,35,85,0,-74.80154499999999
106,35,90,0,-65.78655299999998
107,35,95,0,-58.93304779999998
108,40,10,0,-100.0
109,40,15,0,-100.0
110,40,20,0,-100.0
111,40,25,0,-100.0
112,40,30,0,-100.0
113,40,35,0,-100.0
114,40,40,0,0.0
115,40,45,0,-29.732505599999996
116,40,50,0,3.5928135999998454
117,40,55,0,5.516692400000047
118,40,60,0,-40.4681049999999
119,40,65,0,-43.139394599999996
120,40,70,0,-83.69969020000002
121,40,75,0,-83.03166579999998
122,40,80,0,-44.8338612
123,40,85,0,-44.5485146
124,40,90,0,-58.43374759999998
125,40,95,0,-67.50437219999998
126,45,10,0,-100.0
127,45,15,0,-100.0
128,45,20,0,-100.0
129,45,25,0,-100.0
130,45,30,0,-100.0
131,45,35,0,-100.0
132,45,40,0,-100.0
133,45,45,0,0.0
134,45,50,0,11.98324880000013
135,45,55,0,-29.496080399999975
136,45,60,0,-64.77988260000002
137,45,65,0,-20.80809440000001
138,45,70,0,-55.938277799999994
139,45,75,0,-73.2221972
140,45,80,0,-51.25719220000001
141,45,85,0,-66.06482419999998
142,45,90,0,-64.0494354
143,45,95,0,-52.75332799999999
144,50,10,0,-16.187680199999996
145,50,15,0,0.3214216000000124
146,50,20,0,-100.0
147,50,25,0,-100.0
148,50,30,0,-100.0
149,50,35,0,-100.0
150,50,40,0,-100.0
151,50,45,0,-100.0
152,50,50,0,0.0
153,50,55,0,-11.09433399999989
154,50,60,0,-32.53370580000001
155,50,65,0,-33.23235819999993
156,50,70,0,-32.05688040000001
157,50,75,0,-63.24343659999999
158,50,80,0,-65.17207979999998
159,50,85,0,-56.539996
160,50,90,0,-53.22923359999998
161,50,95,0,-63.38360920000002
162,55,10,0,-100.0
